chi,dob,sex,city
349768215,11/10/2050,female,Edinburgh
7289514603,03/04/1960,male,Aberdeen
5816470932,01/05/1989,male,Dundee
1905746283,24/12/1992,male,Dundee
2819735064,21/08/1955,male,Glasgow
186597243,24/12/2006,male,Glasgow
4128975603,17/04/1977,male,Dundee
4735162809,18/03/1954,male,Glasgow
6930415278,27/08/1969,female,Glasgow
4261839057,22/07/1993,male,NA
5031296748,12/10/2007,male,Inverness
5231470896,09/01/2008,male,Edinburgh
8742305196,05/04/1954,female,Glasgow
1435760298,26/07/1980,male,Aberdeen
317856249,21/03/1981,male,Edinburgh
7429183650,14/08/1950,male,Edinburgh
2041536789,16/03/1951,NA,Dundee
8562340971,05/01/1994,male,Dundee
5986237140,05/08/1958,female,Aberdeen
7350281496,28/09/1984,male,Aberdeen
2789041653,21/09/2009,male,Aberdeen
846912357,22/07/1985,male,Edinburgh
2386740195,06/12/1979,female,Aberdeen
654387129,23/09/2004,female,Inverness
4209186375,13/04/1961,female,Dundee
8349657210,23/06/1972,male,Inverness
6837512904,26/06/1990,male,Inverness
563912478,24/04/1994,male,Glasgow
3714592860,07/05/1999,female,Glasgow
8196307524,NA,male,Aberdeen
3796251840,28/12/2009,female,Glasgow
8437015692,10/05/1999,male,Aberdeen
9536071284,04/04/1986,female,Inverness
381729546,20/05/1966,male,Inverness
2714358690,12/07/2001,female,Dundee
7493856012,16/11/1972,male,Aberdeen
2796014853,08/10/2001,female,Edinburgh
8167293054,27/06/1992,female,Dundee
6705438219,11/07/1951,male,NA
8279310456,03/10/1965,male,Dundee
7940862351,16/10/1967,female,Edinburgh
6503489271,29/01/1975,female,Edinburgh
4735268190,15/04/1992,female,Glasgow
5320847196,18/03/1993,female,Glasgow
8261430759,04/10/2007,female,Glasgow
2560398147,04/01/1999,female,Dundee
6790845132,01/11/1983,female,Glasgow
8473106259,20/06/1974,male,Edinburgh
543628791,17/11/1982,male,Aberdeen
5784603129,13/01/1990,male,Inverness
9841057623,04/08/2000,female,Inverness
694152837,03/01/1987,male,Aberdeen
8523179064,22/06/1999,female,Glasgow
8729054361,02/05/2002,female,Glasgow
9107684253,14/07/1977,male,Edinburgh
2089764531,13/07/2010,female,Inverness
6841725039,17/08/1980,male,Glasgow
3651079248,18/12/1986,female,Edinburgh
7492510863,02/06/1954,male,Aberdeen
3528761049,05/01/1955,female,Glasgow
5180246793,11/05/1964,male,Inverness
7286439501,23/06/1994,female,Inverness
1790326584,03/08/2000,female,Dundee
3509826714,22/09/1999,male,Aberdeen
1680592437,13/10/1979,female,Aberdeen
6302715948,28/01/2005,male,Aberdeen
6403172598,12/04/1962,female,Glasgow
7840329516,22/08/1973,male,Inverness
4710923856,20/07/1969,male,Glasgow
536249178,28/11/1958,male,Dundee
9180762435,24/11/1980,male,Glasgow
7431582069,18/01/2006,female,Aberdeen
1849067532,16/10/1976,female,Inverness
1235746809,20/06/1970,male,Edinburgh
4587169302,29/05/1963,female,Dundee
6023594817,10/05/1998,female,Edinburgh
5024613798,14/09/1966,male,Glasgow
6893057142,23/10/2010,female,Aberdeen
7248315096,26/04/2006,female,Edinburgh
2691804735,NA,female,Aberdeen
5174936820,08/11/1962,male,Edinburgh
8705293461,22/11/1997,female,Glasgow
2847039651,02/04/1968,female,Glasgow
8917245306,22/11/1966,male,Glasgow
9253807461,04/09/1957,female,Aberdeen
2764195038,04/04/1986,male,Glasgow
2865914370,04/06/1950,female,Inverness
6958723104,06/04/1976,female,Aberdeen
6503842197,11/07/1959,male,Aberdeen
2701348965,29/04/1976,male,Glasgow
7902165348,29/09/1972,male,Inverness
6824103975,15/12/1999,NA,Glasgow
1520976843,14/07/1994,female,Inverness
5120846397,05/06/1976,male,Dundee
267431598,10/04/2005,female,Aberdeen
598617423,26/10/1951,female,Glasgow
9815340267,07/11/1972,female,Aberdeen
7154809632,09/05/1995,female,Edinburgh
5642839107,26/04/1977,female,Edinburgh
9657423108,27/10/1961,male,Edinburgh
